estacion,fecha,hora,Temperature,humedad,Pressure,windspeed,winddiraction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
smooy,2023-01-03,13:00,289.92,45.47,1005.79,0.85,67.82,0.0,0.0,0.0,437.6616
smooy,2023-01-03,14:00,290.25,43.79,1005.58,0.98,92.35,0.0,0.0,0.0,408.597
smooy,2023-01-03,15:00,290.59,42.12,1005.36,1.24,108.83,0.0,0.0,0.0,307.0542
smooy,2023-01-03,16:00,289.03,49.39,1005.77,1.33,127.11,0.0,0.0,0.0,182.9352
smooy,2023-01-03,17:00,287.48,56.67,1006.19,1.53,141.79,0.0,0.0,0.0,50.7064
smooy,2023-01-03,18:00,285.92,63.95,1006.6,1.81,152.5,0.0,0.0,0.0,0.0
smooy,2023-01-03,19:00,285.22,70.32,1007.2,1.49,145.58,0.0,0.0,0.0,0.0
smooy,2023-01-03,20:00,284.52,76.69,1007.8,1.2,135.12,0.0,0.0,0.0,0.0
smooy,2023-01-03,21:00,283.82,83.07,1008.4,0.98,119.01,0.0,0.0,0.0,0.0
smooy,2023-01-03,22:00,283.46,84.67,1008.54,0.82,122.59,0.0,0.0,0.0,0.0
smooy,2023-01-03,23:00,283.09,86.28,1008.68,0.67,127.81,0.0,0.0,0.0,0.0
smooy,2023-01-03,00:00,282.72,87.89,1008.82,0.53,135.97,0.0,0.0,0.0,0.0
smooy,2023-01-04,01:00,282.48,88.56,1008.85,0.16,116.66,0.0,0.0,0.0,0.0
smooy,2023-01-04,02:00,282.23,89.23,1008.87,0.24,342.93,0.0,0.0,0.0,0.0
smooy,2023-01-04,03:00,281.98,89.91,1008.89,0.61,331.61,0.0,0.0,0.0,0.0
smooy,2023-01-04,04:00,281.74,89.77,1008.88,0.47,316.73,0.0,0.0,0.0,0.0
smooy,2023-01-04,05:00,281.5,89.64,1008.86,0.39,292.91,0.0,0.0,0.0,0.0
smooy,2023-01-04,06:00,281.26,89.5,1008.84,0.39,263.86,0.0,0.0,0.0,0.0
smooy,2023-01-04,07:00,282.59,84.65,1009.3,0.39,285.04,0.0,0.0,0.0,0.0
smooy,2023-01-04,08:00,283.92,79.8,1009.75,0.45,303.37,0.0,0.0,0.0,20.9238
smooy,2023-01-04,09:00,285.25,74.94,1010.21,0.54,316.74,0.0,0.0,0.0,141.3073
smooy,2023-01-04,10:00,286.41,69.75,1010.21,0.56,338.38,0.0,0.0,0.0,276.5122
smooy,2023-01-04,11:00,287.57,64.56,1010.2,0.65,355.99,0.0,0.0,0.0,399.5106
smooy,2023-01-04,12:00,288.73,59.37,1010.19,0.79,8.37,0.0,0.0,0.0,455.3562
smooy,2023-01-04,13:00,289.08,57.56,1009.49,0.5,20.95,0.0,0.0,0.0,465.2094
smooy,2023-01-04,14:00,289.43,55.74,1008.78,0.28,58.55,0.0,0.0,0.0,427.7466
smooy,2023-01-04,15:00,289.78,53.93,1008.08,0.35,119.29,0.0,0.0,0.0,319.7172
smooy,2023-01-04,16:00,288.24,61.99,1008.18,0.9,124.43,0.0,0.0,0.0,189.5146
smooy,2023-01-04,17:00,286.7,70.06,1008.28,1.46,125.66,0.0,0.0,0.0,52.6339
smooy,2023-01-04,18:00,285.16,78.13,1008.38,2.02,126.2,0.0,0.0,0.0,0.0
smooy,2023-01-04,19:00,284.44,81.57,1008.59,1.61,129.77,0.0,0.0,0.0,0.0
smooy,2023-01-04,20:00,283.71,85.01,1008.79,1.22,135.67,0.0,0.0,0.0,0.0
smooy,2023-01-04,21:00,282.99,88.45,1009.0,0.85,146.91,0.0,0.0,0.0,0.0
smooy,2023-01-04,22:00,282.57,89.71,1008.86,0.58,150.85,0.0,0.0,0.0,0.0
smooy,2023-01-04,23:00,282.15,90.98,1008.72,0.31,161.82,0.0,0.0,0.0,0.0
smooy,2023-01-04,00:00,281.73,92.24,1008.57,0.12,227.08,0.0,0.0,0.0,0.0
smooy,2023-01-05,01:00,281.45,93.17,1008.18,0.2,273.28,0.0,0.0,0.0,0.0
smooy,2023-01-05,02:00,281.18,94.09,1007.8,0.33,288.36,0.0,0.0,0.0,0.0
smooy,2023-01-05,03:00,280.9,95.01,1007.41,0.48,294.75,0.0,0.0,0.0,0.0
smooy,2023-01-05,04:00,280.65,95.72,1007.19,0.64,302.6,0.0,0.0,0.0,0.0
smooy,2023-01-05,05:00,280.4,96.42,1006.98,0.8,307.24,0.0,0.0,0.0,0.0
smooy,2023-01-05,06:00,280.15,97.13,1006.76,0.97,310.27,0.0,0.0,0.0,0.0
smooy,2023-01-05,07:00,281.34,94.4,1006.9,0.85,309.57,0.0,0.0,0.0,0.0
smooy,2023-01-05,08:00,282.52,91.68,1007.04,0.73,308.63,0.0,0.0,0.0,20.4423
smooy,2023-01-05,09:00,283.7,88.96,1007.18,0.6,307.3,0.0,0.0,0.0,140.9882
smooy,2023-01-05,10:00,284.87,81.1,1006.82,0.33,298.69,0.0,0.0,0.0,276.3749
smooy,2023-01-05,11:00,286.04,73.23,1006.47,0.11,245.7,0.0,0.0,0.0,399.1638
smooy,2023-01-05,12:00,287.2,65.37,1006.12,0.27,161.33,0.0,0.0,0.0,455.9142
smooy,2023-01-05,13:00,287.64,61.61,1005.3,0.58,141.89,0.0,0.0,0.0,466.755
smooy,2023-01-05,14:00,288.07,57.85,1004.5,0.9,136.26,0.0,0.0,0.0,430.2504
smooy,2023-01-05,15:00,288.51,54.09,1003.69,1.24,133.64,0.0,0.0,0.0,321.318
smooy,2023-01-05,16:00,287.06,61.44,1003.61,1.38,135.38,0.0,0.0,0.0,190.9605
smooy,2023-01-05,17:00,285.61,68.79,1003.54,1.53,136.78,0.0,0.0,0.0,54.6877
smooy,2023-01-05,18:00,284.16,76.14,1003.46,1.68,137.94,0.0,0.0,0.0,0.0
smooy,2023-01-05,19:00,283.69,78.92,1003.61,1.48,162.59,0.0,0.0,0.0,0.0
smooy,2023-01-05,20:00,283.23,81.69,1003.75,1.59,188.78,0.0,0.0,0.0,0.0
smooy,2023-01-05,21:00,282.76,84.47,1003.89,1.97,208.17,0.0,0.0,0.0,0.0
smooy,2023-01-05,22:00,282.4,84.92,1003.66,1.82,210.14,0.0,0.0,0.0,0.0
smooy,2023-01-05,23:00,282.05,85.37,1003.42,1.68,212.45,0.0,0.0,0.0,0.0
smooy,2023-01-05,00:00,281.69,85.82,1003.18,1.54,215.18,0.0,0.0,0.0,0.0
smooy,2023-01-06,01:00,281.43,86.19,1002.99,1.32,225.65,0.0,0.0,0.0,0.0
smooy,2023-01-06,02:00,281.17,86.57,1002.79,1.16,239.59,0.0,0.0,0.0,0.0
smooy,2023-01-06,03:00,280.9,86.94,1002.6,1.09,256.57,0.0,0.0,0.0,0.0
smooy,2023-01-06,04:00,280.77,86.68,1002.49,1.17,267.97,0.0,0.0,0.0,0.0
smooy,2023-01-06,05:00,280.63,86.42,1002.37,1.3,277.53,0.0,0.0,0.0,0.0
smooy,2023-01-06,06:00,280.5,86.16,1002.26,1.45,285.26,0.0,0.0,0.0,0.0
smooy,2023-01-06,07:00,281.7,80.2,1002.47,1.39,282.61,0.0,0.0,0.0,0.0
smooy,2023-01-06,08:00,282.91,74.24,1002.69,1.34,279.74,0.0,0.0,0.0,21.655
smooy,2023-01-06,09:00,284.11,68.27,1002.9,1.29,276.65,0.0,0.0,0.0,146.3994
smooy,2023-01-06,10:00,285.59,60.25,1002.79,1.28,274.86,0.0,0.0,0.0,285.7763
smooy,2023-01-06,11:00,287.07,52.22,1002.68,1.27,273.03,0.0,0.0,0.0,411.9852
smooy,2023-01-06,12:00,288.55,44.19,1002.57,1.26,271.18,0.0,0.0,0.0,470.2863
smooy,2023-01-06,13:00,289.0,42.14,1002.11,1.06,271.48,0.0,0.0,0.0,481.3497
